수행시각,뽑기ID,아이템명,etc_json,뽑기횟수,뽑기확률(%),기대확률(%),오차(%)
2023-02-15 12:13,300009,벌거숭이 군,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39558,3.9558,3.9574,0.0404
2023-02-15 12:13,300009,청개구리,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39483,3.9483,3.9574,0.2299
2023-02-15 12:13,300009,괴물게,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39497,3.9497,3.9574,0.1946
2023-02-15 12:13,300009,인퍼날,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8489,0.8489,0.8422,0.7955
2023-02-15 12:13,300009,버서커,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8337,0.8337,0.8422,1.0093
2023-02-15 12:13,300009,가고일,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8339,0.8339,0.8422,0.9855
2023-02-15 12:13,300009,데몬 스토커,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8497,0.8497,0.8422,0.8905
2023-02-15 12:13,300009,캐노네이드 키틴,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8321,0.8321,0.8422,1.1992
2023-02-15 12:13,300009,데몬,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8456,0.8456,0.8422,0.4037
2023-02-15 12:13,300009,러스트 뱀파이어,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8423,0.8423,0.8422,0.0119
2023-02-15 12:13,300009,뱀파이어 퀸,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8343,0.8343,0.8422,0.938
2023-02-15 12:13,300009,데빌,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8439,0.8439,0.8422,0.2019
2023-02-15 12:13,300009,스켈레톤 나이트,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8358,0.8358,0.8422,0.7599
2023-02-15 12:13,300009,노움,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8365,0.8365,0.8422,0.6768
2023-02-15 12:13,300009,오크 전사,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8544,0.8544,0.8422,1.4486
2023-02-15 12:13,300009,트롤,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8266,0.8266,0.8422,1.8523
2023-02-15 12:13,300009,루움,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8536,0.8536,0.8421,1.3656
2023-02-15 12:13,300009,본보우 아크리언,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8403,0.8403,0.8421,0.2138
2023-02-15 12:13,300009,메테오스 레인저,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8494,0.8494,0.8421,0.8669
2023-02-15 12:13,300009,임프,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8423,0.8423,0.8421,0.0238
2023-02-15 12:13,300009,뱅갈 나이트,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8616,0.8616,0.8421,2.3156
2023-02-15 12:13,300009,바바야가,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8499,0.8499,0.8421,0.9263
2023-02-15 12:13,300009,메테오스 쉐도우,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8366,0.8366,0.8421,0.6531
2023-02-15 12:13,300009,트로글다이트,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8379,0.8379,0.8421,0.4988
2023-02-15 12:13,300009,곰인형,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8397,0.8397,0.8421,0.285
2023-02-15 12:13,300009,문엘프 전사,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8400,0.84,0.8421,0.2494
2023-02-15 12:13,300009,문엘프 마법사,"{""value"":{""DrawGroupNo"":10009,""Rarity"":1}}",8389,0.8389,0.8421,0.38
2023-02-15 12:13,300009,레프리컨,"{""value"":{""DrawGroupNo"":10009,""Rarity"":2}}",129,0.0129,0.0135,4.4444
